label,text,_,text1,text2
1,centrepoint winter white gala london,,centrepoint winter white gala glasses,1999 winter white gala london
1,prince william taylor swift perform jon bon jovi,,prince william taylor swift performs as bon jovi,prince william taylor swift perform jon bon tour
1,taylor swift prince william funny,,taylor swift makes william funny,taylor of prince william funny
1,taylor swift breathtaking white gown meet prince william,,taylor swift with white gown meet prince william,taylor new breathtaking white gown meet prince william
1,taylor swift dazzle gold gown prince william charity gala,,taylor swift dazzle gold gown she william charity events,taylor swift dazzle gold international prince william charity gala
1,kfix rock news jon bon jovi pursuing buffalo bill,,kfix rock & jon bon jovi pursuing record bill,kfix broadcast news jon bon jovi pursuing buffalo blues
1,taylor swift prince william sing bon jovi video,,taylor swift prince i sing new jovi video,taylor swift prince william sing bon jovi 2008
1,prince william rock jon bon jovi,,prince william rock em bon jovi,prince william rock jon jo jovi
1,funny cool prince william charm gala,,funny British prince william charm gala,funny cool prince william charm...
1,bon jovi invited prince william onstage,,bon jovi invited prince william tonight,bon jovi plays prince william onstage
1,taylor swift moving london prince william,,taylor swift moving forward prince william,taylor smith moving london prince william
1,william sings rock roya threatens twerk,,william sings … roya threatens twerk,william tells rock roya threatens twerk
1,taylor swift prince william sing livin prayer,,taylor swift prince william in livin prayer,matthew swift prince william sing livin prayer
1,taylor swift meet prince william,,taylor swift meet prince charming,taylor swift prince prince william
1,bon jovi buy bill,,bon jovi wine bill,bon jovi long bill
1,taylor swift stuns crystal gown winter white gala prince william,,taylor swift stuns crystal ball as white gala prince william,taylor swift stuns crystal gown winter queen gala prince awards
1,winter white gala picture,,winter 24 gala picture,winter sports gala picture
1,prince william performs song jon bon jovi taylor swift,,prince tom performs a jon bon jovi taylor swift,prince william performs song jon bon jovi jayne swift
1,taylor swift michelle dockery winter white gala,,taylor pear or dockery winter white gala,taylor swift michelle dockery winter white line
1,william prince pop,,william prince pop,william prince hon
1,video prince william rock taylor swift jon bon jovi,,video prince william rock taylor b jon bon j,video prince william band taylor swift jon bon jovi
1,dibs royal guest rocked jon bon jovi taylor swift,,dibs royal guest rocked jon the jovi for swift,dibs royal guest rocked jon bon jovi by river
1,wednesday morning liner,,wednesday morning email,wednesday planet liner
1,watch prince william singing livin prayer jon bon jovi taylor,,watch prince william singing a prayer free bon jovi taylor,watch aunt william singing her prayer jon bon jovi taylor
1,taylor swift taylor swift prince william funny,,taylor swift the swift prince william funny,taylor swift taylor grant prince william funny
1,prince william performs taylor swift jon bon jovi gala picture,,prince william in a swift jon bon jovi gala picture,prince william performs taylor swift jon bon jovi live tours
1,watch prince william sing livin prayer taylor swift bon jovi,,watch Chuck Charles sing livin prayer taylor swift bon jovi,watch young william sing livin prayer taylor swift bon santo
1,taylor swift thrilled royal engagement,,taylor swift thrilled with engagement,only swift thrilled royal engagement
1,swift bon jovi meet prince william homeless charity gala,,swift prince j meet prince william homeless charity gala,swift ex jovi meet prince william homeless charity gala
