label,text,_,text1,text2
25,brain fluid buildup delay giffords rehab,,brain fluid buildup delay the rehab,optical fluid buildup delay giffords rehab
6,trailer talk week movie rite mechanic week opportunity,,trailer talk week movie rite story week opportunity,trailer talk week movie rite mechanic business opportunity
80,rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,,rnc appoints chairman tampa convention effort w tampa vote nati tampa fl,rnc appoints tampa tampa convention effort visit tampa the nati tampa fl
89,gbagbo camp futile cut ivory coast economy,,gbagbo promises futile cut ivory coast economy,gbagbo camp futile cut ivory coast south
43,chinese president lost translation powerful leader meet expect tran,,chinese president lost a powerful leader meet expect say,chinese literally lost translation powerful leader meet expect tran
42,england fishing community current management system broken edf,,england fishing community current licence system broken edf,england welsh community current management system broken edf
59,protest reform start yemen hundred anti government protester gathered sanaa,,protest reform start yemen hundred anti ban supporters gathered sanaa,protest reform start yemen hundred anti government mass movement sanaa
63,stuxnet lead chernobyl russian,,stuxnet lead over russian,they lead chernobyl russian
61,iphone share smartphones phone,,iphone share smartphones worldwide,friends share smartphones phone
49,uploaded youtube video nba final lakers celtic game memory highlig,,uploaded youtube video nba final lakers playoff game by highlig,uploaded the video before final lakers celtic game memory highlig
79,feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,,feed epic sci lib epic ad kia optimum super bowl commercial video trendhunter supe,feed entertainment sci fi car ad kia optimum super bowl commercial video trendhunter video
75,naughty facebook started sharing personal detail site day turn fb,,naughty facebook model sharing personal detail site day after fb,naughty also started sharing online detail site day turn fb
79,super bowl commercial,,super bowl commercial,super bowl game
53,bruce will fave kardashian lol,,bruce will fave her lol,that will fave kardashian lol
48,attack journalist escalate egypt,,attack journalist during egypt,attack can escalate egypt
22,keith olbermann join current tv report,,keith olbermann shows current tv report,keith will join current tv report
56,opinion christina sounded amazing super bowl america making big deal,,opinion christina sounded amazing super glad america making no deal,opinion christina an amazing super bowl america making big deal
76,sundance day strange celebrity encounter steve carell elijah wood full day sundanc,,sundance in a celebrity encounter steve carell elijah wood full day sundanc,sundance day strange celebrity encounter steve carell elijah kelly full day series
37,acai berry supplement weight loss associated content heard oprah win,,acai berry supplement weight deficit associated content heard oprah cream,acai berry supplement weight loss associated content on oprah ।
81,finished watching black swan twisted mental strain take embrace role natalie portman incredible,,finished watching black swan twisted mental imagery take embrace role as portman incredible,finished watching black swan twisted mental strain take embrace from steven portman incredible
13,hot air breaking rahm ballot tcot lt state totally corrupt,,hot man breaking rahm war tcot lt state totally corrupt,hot air breaking off ballot and lt state totally corrupt
50,charlie sheen abuse,,charlie sheen abuse,alan sheen abuse
79,music featured motorola xoom super bowl commercial,,music featured on xoom super bowl commercial,the featured motorola xoom super bowl commercial
