label,text,_,text1,text2
1,bush kerry campaigns move spin jobs report afp afp latest data jobs market sparked fierce spin effort campaigns president george bush challenger john kerry highlight views state economy,,bush kerry jobs move spin jobs report blasted afp latest NY housing market sparked fierce spin effort campaigns president george bush challenger john kerry highlight views state economy,jeff kerry campaigns move spin jobs report afp 2010 latest data jobs were sparked fierce spin effort campaigns president george bush challenger john kerry highlight views state economy
1,judge reduces jail time calderon ap ap judge wednesday reduced time president rafael angel calderon spend jail investigated corruption charges,,judge reduces jail time calderon ap ap el wednesday short time president rafael angel calderon spend jail investigated similar charges,judge reduces jail time calderon ap prison judge wednesday reduced time president rafael angel calderon spend jail investigated corruption project
1,russia increases yukos tax bill oil giant yukos tax bill upped russia tax ministry move push closer bankruptcy,,russia increases bank tax bill oil giant yukos tax bill upped on tax ministry move push closer merger,franchise increases yukos tax bill oil giant yukos tax bill upped russia tax ministry threat of closer bankruptcy
1,parents beheaded man shock nogata fukuoka elder brother japanese man murdered baghdad parents unable respond city official visited sunday shock,,parents gay man shock nogata fukuoka elder brother japanese man murdered baghdad woman unable respond no official visited sunday shock,parents old man shock nogata fukuoka elder generation japanese police murdered baghdad parents unable respond city official visited sunday shock
1,da silva leading brazil vote brazilian voters boost president luiz inacio lula da silva nationwide municipal elections sunday initial electoral test leftist leader plans remake latin america biggest country,,da silva leading brazil by brazilian voters boost president luiz inacio lula da 12 nationwide municipal on sunday 9 electoral test leftist leader plans remake latin america biggest export,da silva leading brazil vote brazilian voters boost campaign luiz inacio lula do silva nationwide municipal elections sunday initial electoral test one leader plans remake latin america biggest man
1,troops edge closer iraqi cleric eases demands fighting raging shiite muslims loyal anti american cleric muqtada al sadr appeared yesterday renew interest negotiated siege islam holiest shrines,,troops edge bc iraqi cleric links militia fighting raging shiite muslims loyal anti Sunni cleric muqtada al sadr appeared yesterday renew interest i siege islam holiest shrines,troops edge closer iraqi cleric eases demands fighting raging shiite taliban loyal anti american cleric muqtada jan abdullah appeared yesterday renew interest negotiated siege islam holiest revolution
1,japan maintain troops iraq japan troops iraq despite beheading japanese hostage islamic militants officials earlier confirmed body baghdad yesterday shosei koda,,japan maintain troops iraq japan troops iraq despite beheading American hostage islamic militants officials earlier confirmed about baghdad during shosei week,japan citizen troops iraq japan troops iraq despite beheading japanese hostage islamic militants officials earlier confirmed bullet found yesterday shosei koda
1,israeli court orders reply hague jerusalem israeli supreme court ordered government produce statement days assesses ramifications nonbinding ruling international court justice hague declared israeli security barrier,,israeli court issues reply against jerusalem israeli supreme court reports government produce last days assesses ramifications nonbinding ruling international court justice hague declared israeli security barrier,israeli court orders reply hague jerusalem office supreme bench ordered government produce statement days assesses ramifications to ruling international court justice hague declared israeli economic barrier
1,lawyer barred peru rebel lawyer abimael guzman leader peru shining path rebels denied access client,,lawyer barred peru rebel lawyer abimael Hassan opens peru shining path rebels denied access Reuters,lawyer barred peru rebel lawyer abimael guzman leader peru shining path peru attorney access client
1,japan typhoon landslides floods tokyo sept powerful typhoon pounded japan southern main island kyushu tuesday grounding airplanes halting trains forcing thousands evacuate homes,,japan typhoon landslides floods tokyo sept as typhoon pounded japan southern landing strip last tuesday grounding airplanes halting trains forcing thousands evacuate homes,japan typhoon landslides floods tokyo sept powerful typhoon affected japan southern main island kyushu tuesday japanese airplanes halting trains forcing thousands onto homes
1,panel genocide sudan darfur reuters reuters secretary general kofi annan named member panel thursday led italian judge antonio cassese investigate genocide place sudan darfur region,,panel genocide sudan darfur reuters reuters secretary general Michael annan named member panel thursday led italian judge antonio cassese expands genocide claims into darfur region,panel genocide sudan darfur reuters reuters secretary general kofi annan named member panel thursday report italian report antonio cassese decision genocide place sudan darfur region
1,iraq elections ahead schedule interim premier paris iraq elections ahead scheduled january iraqis unable vote security situation country interim prime minister iyad allawi interview published western daily newspapers,,iraq elections ahead schedule interim premier announcement iraq elections ahead scheduled July 5 unable vote in situation country interim prime minister iyad allawi interview published western daily newspapers,iraq elections ahead schedule for premier paris iraq elections ahead scheduled january iraqis unable vote security situation for interim prime minister sami allawi always published western daily newspapers
1,cubs defeat marlins nl showdown miami mark prior allowed hits innings pitch carl pavano chicago cubs moved percentage point ahead san francisco atop nl wild card standings beating florida marlins game doubleheader monday corey patterson double second inning cubs ahead stay,,cubs defeat marlins nl showdown miami mark prior allowed hits innings pitch carl pavano chicago cubs moved percentage point ahead san Francisco 3 nl iv card standings ap florida cru sweeps doubleheader monday corey patterson double second inning cubs ahead stay,cubs defeat marlins nl showdown miami mark prior allowed down innings pitch carl rogers chicago cubs better percentage point to san francisco atop nl wild patch standings beating florida marlins game doubleheader monday corey patterson double second inning cubs ahead stay
1,hitchhiker web listeners people listened internet repeats douglas adams hitchhiker guide galaxy bbc,,hitchhiker web blog people talk internet repeats douglas adams hitchhiker guide galaxy ago,hitchhiker web listeners people listened internet repeats douglas adams hitchhiker guide rock explorer
1,iranian film wins indian honour iranian movie beautiful city scoops main prize international film festival india,,iranian film wins golden honour iranian movie beautiful city scoops main prize international cinema festival 2016,iranian film wins indian honour iranian prize beautiful women scoops main prize international film festival india
1,astronauts float spacewalk cape canaveral fla leaving orbiting outpost unmanned international space station astronauts floated spacewalk friday plug antennas replace worn piece cooling equipment,,"astronauts float spacewalk cape canaveral fla, orbiting outpost unmanned international space station astronauts floated spacewalk via plug plug in worn piece cooling equipment",atlantis float spacewalk cape canaveral fla leaving orbiting outpost to international space station apollo floated spacewalk friday plug antennas replace worn piece cooling equipment
1,russian school siege town buries dead beslan russia reuters sound weeping mothers lost sons daughters russia school siege drifted homes beslan sunday burials held people killed,,russian school siege town buries boys beslan russia reuters sound weeping mothers lost sons after russia school siege murders 3 beslan sunday burials held people killed,russia school siege town buries dead beslan russia harbour sound weeping mothers lost sons daughters russia school walls drifted homes deaths sunday burials held people killed
1,faces reality tv introduction children genre inevitable networks understand dicey ethical territory,,faces reality tv introduction children genre inevitable children understand of ethical territory,faces in tv introduction a genre inevitable networks understand dicey ethical territory
1,britain backing request troops appeal commanders british troops bolster american forces baghdad sparked angry protests defense secretary,,britain backing request troops coup commanders deny troops bolster american forces baghdad sparked angry protests defense minister,britain backing request troops to commanders british troops bolster american forces baghdad sparked angry british defense secretary
1,bird flu kills year thai girl st victim reuters reuters asia bird flu epidemic experts fear spawn human pandemic claimed st victim year thai girl contact infected chickens,,bird flu kills year thai girl st victim reuters of asia bird flu — experts fear spawn human vaccine claimed st teen year thai girl contact infected chickens,bird flu kills in thai 3 st victim reuters reuters asia bird flu epidemic experts fear spawn human pandemic claimed as victim year thai girl contact infected chickens
